,Left_Z[N],Right_Z[N]
832, 10.3, -23.7
833, 10.3, -23.7
834, 10.3, -23.7
835, 10.3, -23.8
836, 10.3, -23.8
837, 10.3, -23.8
838, 10.3, -23.8
839, 10.3, -23.8
840, 10.3, -23.8
841, 10.3, -23.8
842, 10.3, -23.8
843, 10.3, -23.8
844, 10.3, -23.8
845, 10.3, -23.8
846, 10.3, -23.8
847, 10.3, -23.8
848, 10.3, -23.8
849, 10.3, -23.8
850, 10.3, -23.8
851, 10.3, -23.8
852, 10.3, -23.8
853, 10.3, -23.8
854, 10.3, -23.8
855, 10.3, -23.8
856, 10.3, -23.8
857, 10.3, -23.8
858, 10.3, -23.8
859, 10.2, -23.8
860, 10.2, -23.8
861, 10.2, -23.8
862, 10.2, -23.8
863, 10.2, -23.8
864, 10.2, -23.8
865, 10.2, -23.7
866, 10.2, -23.8
867, 10.2, -23.8
868, 10.2, -23.8
869, 10.2, -23.8
870, 10.2, -23.8
871, 10.2, -23.8
872, 10.2, -23.8
873, 10.2, -23.8
874, 10.2, -23.8
875, 10.2, -23.8
876, 10.2, -23.8
877, 10.2, -23.8
878, 10.2, -23.8
879, 10.2, -23.8
880, 10.2, -23.8
881, 10.2, -23.8
882, 10.2, -23.8
883, 10.2, -23.7
884, 10.3, -23.8
885, 10.3, -23.8
886, 10.4, -23.8
887, 10.4, -23.8
888, 10.4, -23.7
889, 10.4, -23.7
890, 10.4, -23.7
891, 10.4, -23.7
892, 10.4, -23.7
893, 10.4, -23.7
894, 10.4, -23.7
895, 10.4, -23.7
896, 10.4, -23.7
897, 10.4, -23.7
898, 10.4, -23.7
899, 10.4, -23.7
900, 10.4, -23.7
901, 10.4, -23.7
902, 10.4, -23.7
903, 10.4, -23.7
904, 10.4, -23.7
905, 10.4, -23.7
906, 10.4, -23.7
907, 10.4, -23.7
908, 10.4, -23.7
909, 10.4, -23.7
910, 10.4, -23.7
911, 10.4, -23.8
912, 10.4, -23.8
913, 10.4, -23.8
914, 10.4, -23.8
915, 10.4, -23.8
916, 10.4, -23.8
917, 10.4, -23.8
918, 10.4, -23.8
919, 10.4, -23.8
920, 10.4, -23.8
921, 10.4, -23.8
922, 10.4, -23.8
923, 10.4, -23.8
924, 10.4, -23.8
925, 10.4, -23.8
926, 10.4, -23.8
927, 10.4, -23.8
928, 10.4, -23.8
929, 10.4, -23.7
930, 10.4, -23.7
931, 10.4, -23.7
932, 10.4, -23.7
933, 10.4, -23.7
934, 10.4, -23.7
935, 10.4, -23.7
936, 10.4, -23.7
937, 10.4, -23.7
938, 10.4, -23.7
939, 10.4, -23.7
940, 10.4, -23.7
941, 10.4, -23.7
942, 10.4, -23.7
943, 10.4, -23.7
944, 10.4, -23.7
945, 10.4, -23.7
946, 10.4, -23.7
947, 10.4, -23.7
948, 10.4, -23.7
949, 10.4, -23.7
950, 10.4, -23.8
951, 10.4, -23.8
952, 10.4, -23.8
953, 10.4, -23.7
954, 10.4, -23.7
955, 10.4, -23.7
956, 10.4, -23.7
957, 10.4, -23.7
958, 10.4, -23.7
959, 10.4, -23.7
960, 10.4, -23.7
961, 10.4, -23.7
962, 10.4, -23.7
963, 10.4, -23.7
964, 10.4, -23.7
965, 10.4, -23.7
966, 10.4, -23.7
967, 10.4, -23.7
968, 10.4, -23.7
969, 10.4, -23.7
970, 10.4, -23.7
971, 10.4, -23.7
972, 10.4, -23.6
973, 10.4, -23.6
974, 10.3, -23.6
975, 10.3, -23.6
976, 10.3, -23.6
977, 10.3, -23.6
978, 10.3, -23.6
979, 10.3, -23.6
980, 10.3, -23.6
981, 10.3, -23.6
982, 10.3, -23.7
983, 10.3, -23.7
984, 10.3, -23.7
985, 10.3, -23.7
986, 10.3, -23.7
987, 10.3, -23.7
988, 10.3, -23.7
989, 10.3, -23.7
990, 10.3, -23.6
991, 10.3, -23.6
992, 10.3, -23.6
993, 10.3, -23.6
994, 10.3, -23.6
995, 10.3, -23.6
996, 10.3, -23.6
997, 10.3, -23.6
998, 10.3, -23.6
999, 10.3, -23.6
1000, 10.3, -23.6
1001, 10.3, -23.6
1002, 10.3, -23.6
1003, 10.3, -23.6
1004, 10.3, -23.6
1005, 10.3, -23.6
1006, 10.3, -23.6
1007, 10.3, -23.6
1008, 10.3, -23.7
1009, 10.3, -23.7
1010, 10.3, -23.7
1011, 10.3, -23.7
1012, 10.3, -23.7
1013, 10.3, -23.7
1014, 10.3, -23.7
1015, 10.3, -23.7
1016, 10.3, -23.7
1017, 10.3, -23.7
1018, 10.3, -23.7
1019, 10.3, -23.7
1020, 10.3, -23.7
1021, 10.3, -23.7
1022, 10.3, -23.7
1023, 10.3, -23.7
1024, 10.3, -23.7
1025, 10.3, -23.7
1026, 10.3, -23.8
1027, 10.3, -23.8
1028, 10.3, -23.8
1029, 10.3, -23.8
1030, 10.3, -23.8
1031, 10.3, -23.8
1032, 10.3, -23.8
1033, 10.3, -23.8
1034, 10.3, -23.8
1035, 10.3, -23.8
1036, 10.3, -23.8
1037, 10.3, -23.7
1038, 10.4, -23.7
1039, 10.4, -23.7
1040, 10.4, -23.7
1041, 10.4, -23.7
1042, 10.3, -23.7
1043, 10.3, -23.7
1044, 10.3, -23.7
1045, 10.3, -23.7
1046, 10.3, -23.7
1047, 10.3, -23.7
