,Left_Z[N],Right_Z[N]
593, 17.2, -22.4
594, 17.2, -22.4
595, 17.2, -22.4
596, 17.2, -22.4
597, 17.2, -22.4
598, 17.2, -22.4
599, 17.2, -22.4
600, 17.2, -22.4
601, 17.2, -22.4
602, 17.2, -22.4
603, 17.2, -22.4
604, 17.2, -22.4
605, 17.2, -22.4
606, 17.2, -22.4
607, 17.2, -22.4
608, 17.2, -22.4
609, 17.2, -22.4
610, 17.2, -22.4
611, 17.2, -22.4
612, 17.2, -22.4
613, 17.2, -22.4
614, 17.2, -22.4
615, 17.2, -22.4
616, 17.2, -22.4
617, 17.2, -22.4
618, 17.2, -22.4
619, 17.2, -22.4
620, 17.2, -22.4
621, 17.2, -22.4
622, 17.2, -22.4
623, 17.2, -22.4
624, 17.2, -22.4
625, 17.2, -22.4
626, 17.2, -22.5
627, 17.2, -22.5
628, 17.2, -22.5
629, 17.2, -22.5
630, 17.2, -22.5
631, 17.2, -22.5
632, 17.2, -22.5
633, 17.2, -22.5
634, 17.1, -22.5
635, 17.1, -22.5
636, 17.1, -22.5
637, 17.1, -22.5
638, 17.1, -22.5
639, 17.1, -22.5
640, 17.1, -22.5
641, 17.1, -22.5
642, 17.1, -22.5
643, 17.1, -22.5
644, 17.1, -22.5
645, 17.1, -22.4
646, 17.1, -22.4
647, 17.1, -22.4
648, 17.1, -22.4
649, 17.1, -22.4
650, 17.2, -22.4
651, 17.2, -22.4
652, 17.2, -22.4
653, 17.2, -22.4
654, 17.2, -22.4
655, 17.2, -22.4
656, 17.2, -22.4
657, 17.2, -22.4
658, 17.1, -22.4
659, 17.1, -22.4
660, 17.1, -22.5
661, 17.1, -22.5
662, 17.1, -22.5
663, 17.1, -22.5
664, 17.1, -22.5
665, 17.1, -22.5
666, 17.2, -22.5
667, 17.2, -22.5
668, 17.2, -22.5
669, 17.2, -22.5
670, 17.2, -22.5
671, 17.2, -22.5
672, 17.2, -22.5
673, 17.2, -22.5
674, 17.2, -22.5
675, 17.2, -22.5
676, 17.1, -22.5
677, 17.1, -22.5
678, 17.1, -22.5
679, 17.1, -22.5
680, 17.1, -22.5
681, 17.1, -22.5
682, 17.1, -22.4
683, 17.1, -22.4
684, 17.1, -22.4
685, 17.1, -22.4
686, 17.1, -22.4
687, 17.1, -22.4
688, 17.1, -22.5
689, 17.1, -22.5
690, 17.2, -22.5
691, 17.2, -22.5
692, 17.2, -22.5
693, 17.2, -22.5
694, 17.2, -22.5
695, 17.2, -22.5
696, 17.2, -22.5
697, 17.1, -22.5
698, 17.1, -22.5
699, 17.1, -22.6
700, 17.1, -22.6
701, 17.1, -22.6
702, 17.1, -22.6
703, 17.1, -22.6
704, 17.1, -22.6
705, 17.1, -22.5
706, 17.1, -22.5
707, 17.1, -22.4
708, 17.1, -22.4
709, 17.1, -22.4
710, 17.1, -22.4
711, 17.1, -22.4
712, 17.1, -22.4
713, 17.2, -22.4
714, 17.2, -22.4
715, 17.2, -22.4
716, 17.2, -22.4
717, 17.2, -22.4
718, 17.2, -22.4
719, 17.2, -22.4
720, 17.2, -22.4
721, 17.2, -22.4
722, 17.2, -22.4
723, 17.2, -22.4
724, 17.2, -22.4
725, 17.2, -22.4
726, 17.2, -22.3
727, 17.2, -22.3
728, 17.2, -22.3
729, 17.2, -22.3
730, 17.2, -22.3
731, 17.2, -22.4
732, 17.2, -22.4
733, 17.2, -22.4
734, 17.2, -22.4
735, 17.2, -22.4
736, 17.2, -22.4
737, 17.2, -22.4
738, 17.2, -22.4
739, 17.2, -22.5
740, 17.2, -22.5
741, 17.2, -22.5
742, 17.2, -22.5
743, 17.2, -22.5
744, 17.2, -22.4
745, 17.2, -22.4
746, 17.1, -22.4
747, 17.1, -22.4
748, 17.1, -22.4
749, 17.1, -22.5
750, 17.1, -22.5
751, 17.1, -22.5
752, 17.1, -22.5
753, 17.1, -22.5
754, 17.1, -22.5
755, 17.1, -22.5
756, 17.1, -22.5
757, 17.1, -22.5
758, 17.1, -22.5
759, 17.1, -22.5
760, 17.1, -22.5
761, 17.1, -22.5
762, 17.1, -22.5
763, 17.1, -22.5
764, 17.1, -22.5
765, 17.2, -22.5
766, 17.2, -22.4
767, 17.2, -22.4
768, 17.2, -22.4
769, 17.2, -22.4
770, 17.2, -22.4
771, 17.2, -22.4
772, 17.2, -22.4
773, 17.2, -22.4
774, 17.2, -22.4
775, 17.2, -22.4
776, 17.2, -22.4
777, 17.2, -22.4
778, 17.2, -22.4
779, 17.2, -22.4
780, 17.2, -22.4
781, 17.2, -22.4
782, 17.2, -22.4
783, 17.2, -22.4
784, 17.2, -22.4
785, 17.2, -22.4
786, 17.2, -22.4
787, 17.2, -22.4
788, 17.2, -22.4
789, 17.2, -22.4
790, 17.2, -22.4
791, 17.2, -22.4
792, 17.2, -22.5
793, 17.2, -22.5
794, 17.2, -22.5
795, 17.2, -22.5
796, 17.2, -22.5
797, 17.2, -22.5
798, 17.2, -22.5
799, 17.2, -22.5
800, 17.2, -22.5
801, 17.2, -22.5
802, 17.2, -22.5
803, 17.2, -22.5
804, 17.2, -22.5
805, 17.2, -22.5
806, 17.2, -22.5
807, 17.2, -22.5
808, 17.2, -22.5
809, 17.3, -22.4
810, 17.3, -22.4
811, 17.3, -22.4
812, 17.3, -22.4
813, 17.3, -22.4
814, 17.3, -22.4
815, 17.2, -22.4
816, 17.2, -22.4
817, 17.2, -22.4
818, 17.2, -22.4
819, 17.2, -22.5
820, 17.2, -22.5
821, 17.2, -22.5
822, 17.2, -22.5
823, 17.1, -22.5
824, 17.1, -22.5
825, 17.2, -22.5
826, 17.2, -22.5
827, 17.2, -22.4
828, 17.2, -22.4
829, 17.2, -22.4
830, 17.2, -22.4
